id,name,notes
703,Denton TX PD,NA
704,Denver CO PD,NA
705,Department of Natural Resources - GA,Listed separately from Georgia Department of Natural Resources - NOT IN USE
706,Dept. of Natural Resources OH PD,NA
707,Derby KS PD,NA
708,Des Moines WA PD,NA
709,Des Peres MO DPS,NA
710,Des Plaines IL PD,NA
711,Desert Hot Springs CA PD,NA
712,Desloge MO PD,NA
713,DeSoto County MS SO,NA
714,Desoto MO PD,NA
715,DeSoto TX PD,NA
716,Detroit MI PD,NA
717,Dewitt County IL SO,NA
718,DFW Airport PD TX,NA
719,Diamond IL PD,NA
720,Dickeyville WI PD,NA
721,Dickinson TX PD,NA
722,Dickson County TN SO,NA
723,Dinwiddie County VA SO,NA
724,Dixmoor IL PD,NA
725,DoC Intelligence Unit (GA),NA
726,Dodge County WI SO,NA
727,Dodgeville WI PD,NA
728,Dolton IL PD,NA
729,Doral FL PD,NA
730,Doraville GA PD,NA
731,Dougherty County GA PD,NA
732,Douglas County CO SO,NA
733,Douglas County GA SO,NA
734,Douglas County NE SO,NA
735,Douglasville GA PD,NA
736,Downers Grove IL PD,NA
737,Downey PD CA,NA
738,Dracut MA PD,NA
739,Dublin VA PD,NA
740,Dubois County IN SO,NA
741,Dubuque IA PD,NA
742,Duck NC PD,NA
743,DuComb Center IN,NA
744,Duluth GA PD,NA
745,Duncanville TX PD,NA
746,Dunwoody GA PD,NA
747,DuPage Co IL Prosecutor Office,NA
748,DuPage County Forest Preserve IL PD,NA
749,DuPage County IL SO,NA
750,Durango CO PD,NA
751,Durham County NC SO,NA
752,Durham NC PD,NA
753,Dutchess County Office of Probation & Community Corrections NY,NA
754,Dyer County TN SO,NA
755,Easley SC PD,NA
756,East Baton Rouge LA SO,NA
757,East Bay Parks CA PD,NA
758,East Cleveland OH PD,NA
759,East Dundee IL PD,NA
760,East Hazel Crest IL PD,NA
761,East Moline IL PD,NA
762,East Palo Alto CA PD,NA
763,East Peoria IL PD,NA
764,East Point GA PD,NA
765,East Providence RI PD,NA
766,East Tawakoni TX PD,NA
767,Eastborough KS PD,NA
768,Eastlake OH PD,NA
769,Easton MA PD,NA
770,Eatonville FL PD,NA
771,Eatonville WA PD,NA
772,Eau Claire County WI SO,NA
773,Eden Prairie MN PD,NA
774,Edgar County IL SO,NA
775,Edgecombe County NC SO,NA
776,Edgewood FL PD,NA
777,Edina MN PD,NA
778,Edmond OK PD,NA
779,Edmundson MO PD,NA
780,Edwardsville IL PD,NA
781,Effingham County GA SO,NA
782,El Centro CA PD,NA
783,El Cerrito CA PD,NA
784,El Dorado KS PD,NA
785,El Monte CA PD,NA
786,El Paso CO SO,NA
787,El Paso IL PD,NA
788,El Reno OK PD,NA
789,El Segundo CA PD,NA
790,Elbert County CO SO,NA
791,Elburn IL PD,NA
792,Elgin IL PD,NA
793,Elizabethtown NC PD,NA
794,Elk County KS SO,NA
795,Elk Grove CA PD,NA
796,Elk Grove IL PD,NA
797,Elkhorn WI PD,NA
798,Ellijay GA PD,NA
799,Ellinwood KS PD,NA
800,Ellisville MO PD,NA
801,Elloree SC PD,NA
802,Elm Grove WI PD,NA
803,Elmhurst IL PD,NA
804,Elmwood Park IL PD,NA
805,Elon University NC PD,NA
806,ElRoy WI PD,NA
807,Elwood IL PD,NA
808,Emerson GA PD,NA
809,Emory University Campus PD GA,NA
810,Emporia KS PD,NA
811,Emporia VA PD,NA
812,Englewood CO PD,NA
813,Englewood OH PD,NA
814,Enon OH PD,NA
815,Escalon CA PD,NA
816,Escambia County FL SO,NA
817,Escondido CA PD,NA
818,Estill SC PD,NA
819,Euclid OH PD,NA
820,Euless TX PD,NA
821,Eureka MO PD,NA
822,Eustis FL PD,NA
823,Evanston IL PD,NA
824,Evansville IN PD,NA
825,Evendale OH PD,NA
826,Everest Metro WI PD,NA
827,Everett MA PD,NA
828,Evergreen Park IL PD,NA
829,Example PD,NA
830,External RTCC Demo Org,NA
831,Fairborn OH PD,NA
832,Fairburn GA PD,NA
833,Fairfax City VA PD,NA
834,Fairfax County VA PD,NA
835,Fairfax OH PD,NA
836,Fairfield CA PD,NA
837,Fairfield County OH SO,NA
838,Fairfield Glade TN PD,NA
839,Fairfield OH PD,NA
840,Fairfield Township OH PD,NA
841,Fairlawn OH PD,NA
842,Fairmont NC PD,NA
843,Fairmount IN PD,NA
844,Fairview Heights IL PD,NA
845,Fairview Park OH PD,NA
846,Fairview TN PD,NA
847,Fall River MA PD,NA
848,Fannin County GA SO,NA
849,Farina IL PD,NA
850,Farmer City IL PD,NA
851,Farmersville CA PD,NA
852,Farmington MO PD,NA
853,Farmville VA PD,NA
854,Fauquier County VA SO,NA
855,Fayette County GA SO,NA
856,Fayette County IL SO,NA
857,Fayette County TN SO,NA
858,Fayette OH PD,NA
859,Fayetteville GA PD,NA
860,FBI,NA
861,FedEx Air Carrier PD,NA
862,Fellsmere FL PD,NA
863,Fernandina Beach FL PD,NA
864,Festus MO PD,NA
865,Firestone CO PD,NA
866,Fish and Wildlife Commission FL PD,NA
867,Fishers IN PD,NA
868,Fitchburg WI PD,NA
869,Fitzgerald GA PD,NA
870,Five Rivers MetroParks OH PD,NA
871,Flagler County FL SO,NA
872,Flint MI PD,NA
873,Flock LE Training,NA
874,Flock PD,NA
875,Flock Safety - Admins,NA
876,Flock Safety - Commercial Sales Demo,NA
877,Flock Safety - Customer,NA
878,Flock Safety - Engineering,NA
879,Flock Safety - Marketing,NA
880,Flock Safety - Ops,NA
881,Flock Safety - Sales,NA
882,Flock Safety Campus Security Training,NA
883,Flock Safety HOA - External Testing,NA
884,Flock Safety HOA - External Testing 2,NA
885,Flock Safety LE Training,NA
886,Flock Safety PD - External Testing,NA
887,Flock Safety PD Test Org,NA
888,Florence AL PD,NA
889,Florence County SC SO,NA
890,Florida City FL PD,NA
891,Florida LE Flock Training,NA
892,Florida Polytechnic University FL PD,NA
893,Florissant MO PD,NA
894,Flossmoor IL PD,NA
895,Flower Mound TX PD,NA
896,Flowery Branch GA PD,NA
897,Floyd County GA PD,NA
898,Floyd County IN SO,NA
899,Folly Beach SC PD,NA
900,Folsom CA PD,NA
