id,agency,updated,accessed,url,data_retention_in_days,number_of_owned_cameras,external_organizations_with_access,hotlists_alerted_on,vehicles_detected_in_the_last_30_days,hotlist_hits_in_the_last_30_days,searches_in_the_last_30_days,public_search_audit
1778,Murrieta CA PD,2024-04-26T11:14:49Z,2024-04-26T17:33:31Z,https://transparency.flocksafety.com/murrieta-ca-pd,30 days,38,"Alameda County CA SO, Alhambra CA PD, Amador County CA Sheriff's Office, Anaheim CA PD, Anderson CA PD, Arcadia CA PD, Azusa CA PD, Bakersfield CA PD, Bell Gardens CA PD, Beverly Hills CA PD, Brawley CA PD, Buena Park CA PD, Burbank Airport CA PD, Burbank CA PD, Butte County SO, Cal State Fullerton (CA), California Department of Insurance Fraud, California Highway Patrol, California State Parks - Inland Empire, Campbell CA PD, Capitola CA PD, Carlsbad CA PD, Cathedral City CA PD, Chino PD (CA), Chula Vista CA PD, Citrus Heights CA PD, City of Riverside CA PD , Clearlake CA PD, Clovis CA PD, Colma CA PD, Colton CA PD , Contra Costa County CA SO, Corona CA PD, Costa Mesa CA PD, Covina CA PD, Culver City CA PD, Cypress CA PD, Danville CA PD, Decommissioned Org, Delano CA PD, Desert Hot Springs CA PD, Dixon CA PD, Dublin CA PD (ACSO), El Cajon CA PD, El Centro CA PD, El Cerrito CA PD, Elk Grove CA PD, Emeryville CA PD, Escondido CA PD, Fairfield CA PD, Folsom CA PD, Fontana CA PD, Fort Bragg CA PD, Foster City CA PD, Fowler CA PD, Fullerton CA PD, Galt CA PD, Garden Grove CA PD, Gilroy CA PD, Glendale CA PD, Glendora (CA) PD, Grover Beach CA PD, Hanford CA PD, Hayward CA PD, Hemet CA PD , Hercules CA PD, Hollister CA PD, Huntington Beach CA PD, Indio CA PD, Irvine CA PD, Kern County CA SO , La Habra CA PD, La Mesa CA PD, La Verne CA PD, Laguna Beach CA PD, Lake County CA SO, LASD CA - San Dimas Station, Lincoln CA PD, Livermore CA PD, Lompoc CA PD, Los Alamitos PD CA, Los Angeles CA PD, Los Angeles County CA SD, Los Gatos Monte Sereno PD - CA, Manteca CA PD, Mendocino County SO-CA, Menifee CA PD, Merced County CA SO, Milpitas CA PD, Montclair CA PD, Monterey Park CA PD, Morgan Hill CA PD, Napa CA PD, Napa County CA SO, National City CA PD, NCRIC, Nevada City CA PD, Newark CA PD , Newport Beach PD CA, Novato CA PD, Oakley CA PD, OC Sheriff CA, Oceanside CA PD, Ontario CA PD, Orange County (CA) DA Office , Orange PD CA, Oxnard CA PD , Pacific Grove CA PD, Palm Springs CA PD, Pasadena CA PD, Petaluma CA PD, Placentia CA PD, Placer County CA SO, Pleasanton CA PD, Pomona CA PD, Porterville CA PD, RCATF CA PD, Redlands CA PD, Redwood City CA PD, Reedley CA PD, Rialto PD CA, Rio Hondo College PD CA, Rio Vista CA PD, Riverside County CA District Attorney, Riverside County CA SD, Salinas CA PD, San Bernardino CA PD, San Bernardino County CA SO, San Bruno CA PD, San Diego CA PD, San Diego County CA SD, San Fernando CA PD, San Francisco CA PD, San Joaquin County CA SO, San Luis Obispo CA PD , San Luis Obispo County (CA) Sheriff , San Mateo CA PD, San Mateo County CA SO, Santa Barbara County CA SO, Santa Barbara PD CA, Santa Clara CA PD, Santa Rosa CA PD, Seal Beach CA PD , Seaside CA PD, Sequoias Community College District CA PD, Simi Valley CA PD, Solano County CA SO, Sonoma County CA SO, South Pasadena CA PD, Stockton CA PD, Suisun City CA PD , Tehachapi CA PD, Tracy CA PD, Truckee CA PD, Tustin CA PD , UC Irvine Campus PD CA, UC Riverside PD (CA), Ukiah CA PD, Upland CA PD , US Postal Inspection Service, Vacaville CA PD, Vallejo CA PD, Ventura CA PD, Ventura County CA SO, Vernon CA PD, Watsonville CA PD, West Covina CA PD, West Valley Mission College Dist Campus (CA), Westminster CA PD, Woodlake CA PD, Woodland CA PD, Yuba County Sheriffs Office","California SVS, NCMEC Amber Alert",857016,4969,674,1
1809,Nevada County CA SO,2024-04-26T12:05:49Z,2024-04-26T17:33:32Z,https://transparency.flocksafety.com/nevada-county-ca-so,30 days,12,NA,"California SVS, NCMEC Amber Alert",104983,116,165,0
1884,Novato CA PD,2024-04-26T09:02:16Z,2024-04-26T17:33:34Z,https://transparency.flocksafety.com/novato-ca-pd,30 days,6,"ACRATT -CA, Alameda CA PD, Alameda County CA SO, Albany CA PD, Alhambra CA PD, Anaheim CA PD, Anderson CA PD, Antioch CA PD, Arcadia CA PD, Atherton CA PD, Azusa CA PD, Bakersfield CA PD, Beaumont CA PD, Benicia CA PD, Brawley CA PD, Brisbane CA PD, Burbank CA PD, Burlingame  CA PD, Butte County SO, Cal State Fullerton (CA), California Highway Patrol, Campbell CA PD, Carlsbad CA PD, Carmel CA PD, Chino PD (CA), Chula Vista CA PD, Citrus Heights CA PD, City of Riverside CA PD , Clearlake CA PD, Cloverdale CA PD, Colma CA PD, Colton CA PD , Concord CA PD, Contra Costa County CA SO, Corona CA PD, Costa Mesa CA PD, Daly City CA PD, Danville CA PD, Dixon CA PD, Dublin CA PD (ACSO), East Palo Alto CA PD, El Cajon CA PD, El Cerrito CA PD, Elk Grove CA PD, Emeryville CA PD, Fairfield CA PD, Folsom CA PD, Fort Bragg CA PD, Foster City CA PD, Fowler CA PD, Fremont CA PD, Fullerton CA PD, Galt CA PD, Gilroy CA PD, Hanford CA PD, Hayward CA PD, Healdsburg CA PD, Hercules CA PD, Hillsborough CA PD, Irvine CA PD, Kings County CA DAs Office, La Habra CA PD, La Mesa CA PD, La Verne CA PD, Lake County CA SO, Lakeport CA PD, Lincoln CA PD, Livermore CA PD, Lodi CA PD, Lompoc CA PD, Los Alamitos PD CA, Los Gatos Monte Sereno PD - CA, Manteca CA PD, Marin County CA SO, Mendocino County SO-CA, Menlo Park CA PD, Milpitas CA PD, Monterey Park CA PD, Murrieta CA PD, Napa CA PD, Napa County CA SO, National City CA PD, NCRIC, Newark CA PD , Oakland CA PD, Oakley CA PD, Oceanside CA PD, Ontario CA PD, Orange County (CA) DA Office , Oxnard CA PD , Pacific Grove CA PD, Palo Alto CA PD, Pasadena CA PD, Petaluma CA PD, Piedmont CA PD, Placentia CA PD, Placer County CA SO, Pleasanton CA PD, Redwood City CA PD, Richmond CA PD, Rio Hondo College PD CA, Rio Vista CA PD, Riverside County CA District Attorney, Riverside County CA SD, Roseville CA PD, Salinas CA PD, San Bruno CA PD, San Francisco CA PD, San Leandro CA PD, San Mateo CA PD, San Mateo County CA SO, San Pablo CA PD , San Rafael CA PD, Santa Clara CA PD, Santa Rosa CA PD, Seal Beach CA PD , Seaside CA PD, Solano County CA SO, Solano County DA CA, Solano County Special Investigations Bureau , Sonoma County CA SO, South Pasadena CA PD, South San Francisco CA PD, Stockton CA PD, Suisun City CA PD , Tehachapi CA PD, Tracy CA PD, Tustin CA PD , Ukiah CA PD, Union City CA PD, Upland CA PD , Vacaville CA PD, Vallejo CA PD, Ventura CA PD, Walnut Creek CA PD, Watsonville CA PD, West Covina CA PD, West Sacramento CA PD, Woodlake CA PD, Woodland CA PD, Yuba County Sheriffs Office","California SVS, NCMEC Amber Alert",164946,127,176,1
1897,Oakley CA PD,2024-04-26T08:52:14Z,2024-04-26T17:33:36Z,https://transparency.flocksafety.com/oakley-ca-pd,30 days,5,"ACRATT -CA, Alameda CA PD, Alameda County CA SO, Albany CA PD, Alhambra CA PD, Anaheim CA PD, Anderson CA PD, Antioch CA PD, Arcadia CA PD, Arvin CA PD, Atherton CA PD, Auburn CA PD, Azusa CA PD, Bakersfield CA PD, Baldwin Park CA PD, Barstow CA PD, Beaumont CA PD, Bell Gardens CA PD, Benicia CA PD, Beverly Hills CA PD, Brawley CA PD, Brea CA PD, Brisbane CA PD, Buena Park CA PD, Burbank Airport CA PD, Burlingame  CA PD, Butte County SO, CA - Napa Valley College Campus, Cal Fire , Cal State Fullerton (CA), California Department of Insurance Fraud, California Highway Patrol, Calistoga CA PD, Campbell CA PD, Capitola CA PD, Carmel CA PD, Cathedral City CA PD, Chino PD (CA), Chula Vista CA PD, Citrus Heights CA PD, City of Newman CA PD, City of Riverside CA PD , Claremont CA PD, Clearlake CA PD, Clovis CA PD, Colma CA PD, Colton CA PD , Concord CA PD, Contra Costa County CA SO, Corona CA PD, Costa Mesa CA PD, Covina CA PD, CSU Long Beach PD (CA), Cypress CA PD, Daly City CA PD, Danville CA PD, Decommissioned Org, Delano CA PD, Desert Hot Springs CA PD, Dixon CA PD, Downey PD CA, Dublin CA PD (ACSO), East Bay Parks CA PD, East Palo Alto CA PD, El Cajon CA PD, El Centro CA PD, El Cerrito CA PD, El Monte CA PD, El Segundo CA PD, Elk Grove CA PD, Emeryville CA PD, Escalon CA PD, Escondido CA PD, Fairfield CA PD, Farmersville CA PD, FBI, Folsom CA PD, Fontana CA PD, Foothill-DeAnza CA PD, Fort Bragg CA PD, Foster City CA PD, Fremont CA PD, Fresno CA PD, Fullerton CA PD, Galt CA PD, Garden Grove CA PD, Gilroy CA PD, Glendale CA PD, Grass Valley CA PD, Grover Beach CA PD, Hanford CA PD, Hayward CA PD, Healdsburg CA PD, Hemet CA PD , Hercules CA PD, Hermosa Beach PD CA, Hillsborough CA PD, Houston TX PD, Humboldt County CA SO, Huntington Beach CA PD, Imperial City CA PD, Imperial County CA SO, Indio CA PD, Irvine CA PD, Irwindale CA PD, Kensington CA PD, Kern County CA SO , Kings County CA DAs Office, La Habra CA PD, La Mesa CA PD, La Verne CA PD, Laguna Beach CA PD, Lake County CA SO, Lakeport CA PD, LASD CA - San Dimas Station, LASD CA  Crescenta Valley Station, Lathrop CA PD , Lincoln CA PD, Livermore CA PD, Livingston CA PD, Lodi CA PD, Lompoc CA PD, Los Alamitos PD CA, Los Alto Hills  CA PD, Los Angeles County CA SD, Los Angeles Port Police CA, Los Gatos Monte Sereno PD - CA, Madera County SO CA , Manteca CA PD, Marin County CA SO, McFarland CA PD, Mendocino County SO-CA, Mendota CA PD, Menifee CA PD, Menlo Park CA PD, Merced County CA SO, Milpitas CA PD, Monrovia CA PD, Montclair CA PD, Monterey County CA SO, Monterey Park CA PD, Moraga CA PD, Morgan Hill CA PD, Mountain View CA PD, Murrieta CA PD, Napa CA PD, Napa County CA SO, National City CA PD, NCRIC, Nevada City CA PD, Nevada County CA SO, New York State Police NY, Newark CA PD , Newport Beach PD CA, Novato CA PD, Oakland CA PD, OC Sheriff CA, Oceanside CA PD, Ontario CA PD, Orange County (CA) DA Office , Orange PD CA, Oxnard CA PD , Pacific Grove CA PD, Palm Springs CA PD, Palo Alto CA PD, Pasadena CA PD, Piedmont CA PD, Pinole CA PD, Placentia CA PD, Placer County CA SO, Pleasant Hill CA PD, Pleasanton CA PD, Pomona CA PD, Port Hueneme CA PD, Porterville CA PD, Queen Creek AZ PD, RCATF CA PD, Redlands CA PD, Redwood City CA PD, Reedley CA PD, Rialto PD CA, Richmond CA PD, Rio Hondo College PD CA, Rio Vista CA PD, Riverside County CA District Attorney, Riverside County CA SD, Rocklin CA PD, Rohnert Park Department of Public Safety (CA), Roseville CA PD, Sacramento CA DA, Sacramento CA PD, Salinas CA PD, San Bernardino CA PD, San Bernardino County CA SO, San Bruno CA PD, San Diego County CA SD, San Francisco CA PD, San Gabriel CA PD, San Joaquin CA DA, San Joaquin County CA SO, San Jose CA PD, San Leandro CA PD, San Luis Obispo CA PD , San Luis Obispo County (CA) Sheriff , San Mateo CA PD, San Mateo County CA SO, San Pablo CA PD , San Rafael CA PD, San Ramon CA PD, Santa Barbara County CA SO, Santa Barbara PD CA, Santa Clara CA PD, Santa Clara County CA SO, Santa Clara DA CA, Santa Maria CA PD, Santa Monica CA PD, Santa Rosa CA PD, Sauk Village IL PD, Sausalito CA PD, Seal Beach CA PD , Seaside CA PD, Sierra Madre CA PD, Simi Valley CA PD, Solano County CA SO, Solano County DA CA, Sonoma County CA SO, South Pasadena CA PD, South San Francisco CA PD, Spokane County WA SO, St. Helena CA PD, Stockton CA PD, Suisun City CA PD , Tehachapi CA PD, Torrance CA PD, Town of Woodside CA (SMCSO), Tracy CA PD, Truckee CA PD, Tustin CA PD , Ukiah CA PD, Union City CA PD, Upland CA PD , US Postal Inspection Service, Vacaville CA PD, Vallejo CA PD, Ventura CA PD, Ventura County CA SO, Vernon CA PD, Walnut Creek CA PD, Watsonville CA PD, West Covina CA PD, West Sacramento CA PD, Winters CA PD, Woodlake CA PD, Woodland CA PD, Yolo County CA SO, Yreka CA PD, Yuba County Sheriffs Office, Zionsville IN PD","California SVS, NCMEC Amber Alert",112148,173,148,1
2052,Piedmont CA PD,2024-04-26T08:00:56Z,2024-04-26T17:33:37Z,https://transparency.flocksafety.com/piedmont-ca-pd,30 days,53,NA,"California SVS, NCMEC Amber Alert",170429,Data Unavailable,132,0
2176,Rio Vista CA PD,2024-04-26T09:01:11Z,2024-04-26T17:33:39Z,https://transparency.flocksafety.com/rio-vista-ca-pd,30 days,5,"ACRATT -CA, Alameda County CA SO, Albany CA PD, Benicia CA PD, Beverly Hills CA PD, Buena Park CA PD, Calistoga CA PD, Citrus Heights CA PD, Clearlake CA PD, Concord CA PD, Contra Costa County CA SO, Danville CA PD, Dixon CA PD, East Bay Parks CA PD, El Cajon CA PD, El Cerrito CA PD, Elk Grove CA PD, Fairfield CA PD, Folsom CA PD, Fremont CA PD, Galt CA PD, Gilroy CA PD, Hayward CA PD, Hercules CA PD, Kings County CA DAs Office, La Habra CA PD, La Verne CA PD, Lakeport CA PD, Livermore CA PD, Los Alamitos PD CA, Morgan Hill CA PD, Napa CA PD, Napa County CA SO, National City CA PD, Nevada City CA PD, Newark CA PD , Novato CA PD, Oakley CA PD, OC Sheriff CA, Ontario CA PD, Pinole CA PD, Pleasanton CA PD, Redwood City CA PD, Richmond CA PD, Riverside County CA District Attorney, Riverside County CA SD, Rocklin CA PD, Roseville CA PD, Sacramento CA DA, Sacramento CA PD, Salinas CA PD, San Fernando CA PD, San Joaquin CA DA, San Joaquin County CA SO, San Leandro CA PD, San Pablo CA PD , Santa Barbara County CA SO, Santa Clara CA PD, Santa Clara County CA SO, Santa Rosa CA PD, Seal Beach CA PD , Solano County CA SO, Solano County DA CA, Solano County Special Investigations Bureau , Sonoma County CA SO, St. Helena CA PD, Stockton CA PD, Suisun City CA PD , Tracy CA PD, Union City CA PD, Vacaville CA PD, Vallejo CA PD, Walnut Creek CA PD, West Covina CA PD, West Sacramento CA PD, Winters CA PD, Woodlake CA PD, Woodland CA PD, Yolo County CA SO","California SVS, NCMEC Amber Alert",184308,341,60,1
2258,San Jose CA PD,2024-04-26T08:25:12Z,2024-04-26T17:33:41Z,https://transparency.flocksafety.com/san-jose-ca-pd,365 days,241,"ACRATT -CA, Alameda County CA SO, Albany CA PD, Amador County CA Sheriff's Office, Anaheim CA PD, Anderson CA PD, Arcadia CA PD, Atherton CA PD, Azusa CA PD, Bakersfield CA PD, Bell Gardens CA PD, Beverly Hills CA PD, Brawley CA PD, Brisbane CA PD, Burbank Airport CA PD, Burbank CA PD, Burlingame  CA PD, Butte County SO, California Highway Patrol, Campbell CA PD, Capitola CA PD, Carlsbad CA PD, Carmel CA PD, Cathedral City CA PD, Chino PD (CA), Chula Vista CA PD, Citrus Heights CA PD, City of Riverside CA PD , Clovis CA PD, Colma CA PD, Colton CA PD , Concord CA PD, Contra Costa County CA SO, Corona CA PD, Costa Mesa CA PD, Covina CA PD, Culver City CA PD, Daly City CA PD, Danville CA PD, Delano CA PD, Desert Hot Springs CA PD, Dixon CA PD, Dublin CA PD (ACSO), East Palo Alto CA PD, El Cajon CA PD, El Centro CA PD, El Cerrito CA PD, Elk Grove CA PD, Emeryville CA PD, Fairfield CA PD, Flock Safety PD Test Org, Folsom CA PD, Foothill-DeAnza CA PD, Fort Bragg CA PD, Foster City CA PD, Fowler CA PD, Fremont CA PD, Fullerton CA PD, Galt CA PD, Garden Grove CA PD, Gilroy CA PD, Glendora (CA) PD, Grover Beach CA PD, Hanford CA PD, Hayward CA PD, Hemet CA PD , Hercules CA PD, Hillsborough CA PD, Hollister CA PD, Imperial County CA SO, Indio CA PD, Irvine CA PD, Kern County CA SO , La Habra CA PD, La Mesa CA PD, La Verne CA PD, Laguna Beach CA PD, Lake County CA SO, Lakeport CA PD, Lathrop CA PD , Lincoln CA PD, Livermore CA PD, Lodi CA PD, Lompoc CA PD, Los Alamitos PD CA, Los Angeles CA PD, Los Gatos Monte Sereno PD - CA, Manteca CA PD, Menifee CA PD, Merced County CA SO, Milpitas CA PD, Modoc County CA SO, Montclair CA PD, Monterey County CA SO, Monterey Park CA PD, Morgan Hill CA PD, Mountain View CA PD, Murrieta CA PD, Napa CA PD, Napa County CA SO, National City CA PD, NCRIC, Nevada City CA PD, Newark CA PD , Newport Beach PD CA, Novato CA PD, Oakland CA PD, Oakley CA PD, OC Sheriff CA, Oceanside CA PD, Ontario CA PD, Orange PD CA, Oxnard CA PD , Pacific Grove CA PD, Palo Alto CA PD, Pasadena CA PD, Placentia CA PD, Placer County CA SO, Pleasanton CA PD, Pomona CA PD, Porterville CA PD, Redwood City CA PD, Reedley CA PD, Richmond CA PD, Rio Vista CA PD, Riverside County CA SD, Roseville CA PD, Salinas CA PD, San Bernardino County CA SO, San Bruno CA PD, San Fernando CA PD, San Francisco CA PD, San Joaquin County CA SO, San Leandro CA PD, San Luis Obispo CA PD , San Luis Obispo County (CA) Sheriff , San Mateo CA PD, San Mateo County CA SO, San Pablo CA PD , San Ramon CA PD, Santa Barbara County CA SO, Santa Clara CA PD, Santa Clara DA CA, Santa Rosa CA PD, Seal Beach CA PD , Seaside CA PD, Sequoias Community College District CA PD, Simi Valley CA PD, Solano County CA SO, Sonoma County CA SO, South Pasadena CA PD, South San Francisco CA PD, Stockton CA PD, Suisun City CA PD , Tehachapi CA PD, Tracy CA PD, Truckee CA PD, Tustin CA PD , Ukiah CA PD, Union City CA PD, Upland CA PD , Vacaville CA PD, Vallejo CA PD, Ventura CA PD, Vernon CA PD, Walnut Creek CA PD, Watsonville CA PD, West Covina CA PD, West Sacramento CA PD, Westminster CA PD, Woodlake CA PD, Woodland CA PD, Yuba County Sheriffs Office","California SVS, NCMEC Amber Alert",2826001,Data Unavailable,2121,0
2265,San Marino CA PD,2024-04-26T08:54:23Z,2024-04-26T17:33:42Z,https://transparency.flocksafety.com/san-marino-ca-pd,365 days,41,"Alhambra CA PD, Anaheim CA PD, Arcadia CA PD, Baldwin Park CA PD, Bell Gardens CA PD, Beverly Hills CA PD, Brea CA PD, Buena Park CA PD, Burbank Airport CA PD, Burbank CA PD, Chino PD (CA), Colton CA PD , Corona CA PD, Costa Mesa CA PD, Covina CA PD, Culver City CA PD, Decommissioned Org, El Monte CA PD, El Segundo CA PD, FBI, Fullerton CA PD, Garden Grove CA PD, Glendale CA PD, Glendora (CA) PD, Huntington Beach CA PD, Irwindale CA PD, La Habra CA PD, La Verne CA PD, Laguna Beach CA PD, LASD CA - San Dimas Station, Los Alamitos PD CA, Los Angeles CA PD, Los Angeles County CA SD, Monrovia CA PD, Monterey Park CA PD, Orange County (CA) DA Office , Orange PD CA, Pasadena CA PD, Pomona CA PD, Riverside County CA SD, San Gabriel CA PD, Seal Beach CA PD , South Pasadena CA PD, Torrance CA PD, Tustin CA PD , Upland CA PD , Vernon CA PD, West Covina CA PD, Westminster CA PD, Whittier CA PD","California SVS, NCMEC Amber Alert",615352,1833,60,0
2266,San Mateo CA PD,2024-04-26T08:14:31Z,2024-04-26T17:33:44Z,https://transparency.flocksafety.com/san-mateo-ca-pd,30 days,31,"ACRATT -CA, Alameda County CA SO, Alhambra CA PD, Anderson CA PD, Antioch CA PD, Arcadia CA PD, Atherton CA PD, Auburn CA PD, Azusa CA PD, Bakersfield CA PD, Beaumont CA PD, Bell Gardens CA PD, Benicia CA PD, Beverly Hills CA PD, Brisbane CA PD, Buena Park CA PD, Burbank CA PD, Burlingame  CA PD, Butte County SO, Cal State Fullerton (CA), California Department of Corrections, Campbell CA PD, Capitola CA PD, Carlsbad CA PD, Cathedral City CA PD, Chino PD (CA), Chula Vista CA PD, Citrus Heights CA PD, City of Riverside CA PD , Clearlake CA PD, Clovis CA PD, Colma CA PD, Colton CA PD , Concord CA PD, Contra Costa County CA SO, Corona CA PD, Costa Mesa CA PD, Cotati CA PD, Covina CA PD, Culver City CA PD, Cypress CA PD, Daly City CA PD, Danville CA PD, Delano CA PD, Desert Hot Springs CA PD, Dixon CA PD, Downey PD CA, Dublin CA PD (ACSO), East Bay Parks CA PD, East Palo Alto CA PD, El Cajon CA PD, El Cerrito CA PD, El Segundo CA PD, Elk Grove CA PD, Emeryville CA PD, Escondido CA PD, Fairfield CA PD, Folsom CA PD, Fontana CA PD, Foothill-DeAnza CA PD, Foster City CA PD, Fowler CA PD, Fremont CA PD, Fresno CA PD, Fullerton CA PD, Galt CA PD, Garden Grove CA PD, Gilroy CA PD, Glendora (CA) PD, Grass Valley CA PD, Hanford CA PD, Hayward CA PD, Hemet CA PD , Hercules CA PD, Hermosa Beach PD CA, Hillsborough CA PD, Hollister CA PD, Humboldt County CA SO, Imperial City CA PD, Imperial County CA SO, Indio CA PD, Irvine CA PD, Kern County CA SO , La Habra CA PD, La Mesa CA PD, La Verne CA PD, Laguna Beach CA PD, Lake County CA SO, Lakeport CA PD, LASD CA - San Dimas Station, LASD CA  Crescenta Valley Station, Lathrop CA PD , Lincoln CA PD, Lindsay Public Safety Department CA, Livermore CA PD, Lodi CA PD, Lompoc CA PD, Los Alamitos PD CA, Los Angeles County CA SD, Madera County SO CA , Manteca CA PD, Marin County CA SO, McFarland CA PD, Mendocino County SO-CA, Menifee CA PD, Menlo Park CA PD, Merced County CA SO, Milpitas CA PD, Modoc County CA SO, Montclair CA PD, Monterey County CA SO, Monterey Park CA PD, Morgan Hill CA PD, Mountain View CA PD, Murrieta CA PD, Napa CA PD, Napa County CA SO, National City CA PD, NCRIC, Nevada County CA SO, Newark CA PD , Newport Beach PD CA, Novato CA PD, Oakland CA PD, Oakley CA PD, OC Sheriff CA, Oceanside CA PD, Ontario CA PD, Orange County (CA) DA Office , Orange PD CA, Oroville CA PD, Oxnard CA PD , Pacific Grove CA PD, Palm Springs CA PD, Palo Alto CA PD, Pasadena CA PD, Petaluma CA PD, Piedmont CA PD, Placentia CA PD, Placer County CA SO, Pleasant Hill CA PD, Pleasanton CA PD, Pomona CA PD, Port of Stockton CA PD, Porterville CA PD, Redlands CA PD, Redwood City CA PD, Reedley CA PD, Richmond CA PD, Rio Hondo College PD CA, Rio Vista CA PD, Ripon CA PD, Riverside County CA District Attorney, Riverside County CA SD, Rocklin CA PD, Rohnert Park Department of Public Safety (CA), Roseville CA PD, Sacramento CA DA, Sacramento CA PD, Salinas CA PD, San Bernardino CA PD, San Bernardino County CA SO, San Bruno CA PD, San Fernando CA PD, San Francisco CA PD, San Joaquin County CA SO, San Jose CA PD, San Leandro CA PD, San Luis Obispo CA PD , San Luis Obispo County (CA) Sheriff , San Mateo County CA SO, San Pablo CA PD , San Rafael CA PD, San Ramon CA PD, Sand City CA PD, Santa Barbara County CA SO, Santa Clara CA PD, Santa Clara DA CA, Santa Cruz CA PD, Santa Monica CA PD, Santa Rosa CA PD, Sausalito CA PD, Seal Beach CA PD , Seaside CA PD, Sequoias Community College District CA PD, Simi Valley CA PD, Solano County CA SO, Sonoma County CA SO, South Gate CA PD, South Pasadena CA PD, South San Francisco CA PD, St. Helena CA PD, Stockton CA PD, Suisun City CA PD , Tehachapi CA PD, Town of Woodside CA (SMCSO), Tracy CA PD, Tustin CA PD , UC Irvine Campus PD CA, Ukiah CA PD, Union City CA PD, Upland CA PD , Vacaville CA PD, Vallejo CA PD, Ventura CA PD, Ventura County District Attorney's Office CA, Vernon CA PD, Watsonville CA PD, West Covina CA PD, West Sacramento CA PD, West Valley Mission College Dist Campus (CA), Westminster CA PD, Whittier CA PD, Winters CA PD, Woodlake CA PD, Woodland CA PD, Yolo County CA SO, Yuba County Sheriffs Office","California SVS, NCMEC Amber Alert",755220,4253,NA,0
2276,Santa Clara County CA SO,2024-04-26T08:41:42Z,2024-04-26T17:33:46Z,https://transparency.flocksafety.com/santa-clara-county-ca-so,30 days,80,Santa Clara County CA SO,"California SVS, NCMEC Amber Alert",426415,964,152,1
2374,South San Francisco CA PD,2024-04-26T08:49:26Z,2024-04-26T17:33:47Z,https://transparency.flocksafety.com/south-san-francisco-ca-pd,30 days,28,"Atherton CA PD, Brisbane CA PD, Burlingame  CA PD, Colma CA PD, East Palo Alto CA PD, Foster City CA PD, Hillsborough CA PD, Redwood City CA PD, San Bruno CA PD, San Mateo CA PD, San Mateo County CA SO","California SVS, NCMEC Amber Alert",628619,2526,566,1
